meta/task,meta/agent_name,meta/dataset_class,meta/git_commit,meta/dataset_dir,meta/train_dataset_path,meta/val_dataset_path,meta/train_dataset_sha256,meta/val_dataset_sha256,meta/hostname,meta/platform,meta/python_version,meta/jax_backend,meta/jax_devices,meta/jax_device_count,params/total_count,params/value_count,params/actor_count,params/critic_count,params/target_value_count,training/actor/action_saturation_frac,training/actor/actor_loss,training/actor/bc_loss,training/actor/q_loss,training/actor/q_mean,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits_pos,training/critic/q_mean,training/critic/score_margin,training/critic/v_mean,training/grad/actor_global_norm,training/grad/critic_global_norm,training/grad/global_norm,time/sps,time/step_time,time/update_count,time/samples_seen,time/eval_count,time/total_time,time/train_wall_clock,time/hours_elapsed,time/samples_per_second,compute/total_param_updates,compute/critic_param_updates,compute/value_param_updates,compute/total_param_samples,compute/critic_param_samples,compute/value_param_samples,params/critic_abs_mean,batch/value_goal_source_current_frac,batch/value_goal_source_traj_frac,batch/value_goal_source_random_frac,batch/value_goal_horizon_mean,batch/value_goal_horizon_std,batch/value_goal_maze_xy_distance_mean,batch/value_goal_maze_xy_distance_std,batch/value_goal_maze_path_available_frac,batch/value_goal_maze_path_len_mean,batch/value_goal_maze_path_len_std,batch/value_goal_maze_path_short_frac,batch/value_goal_maze_path_medium_frac,batch/value_goal_maze_path_long_frac,action/policy_behavior_mse,step
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.08569336,1.8134458,0.81756234,0.9958834,-8.462976,0.10839844,0.0049741515,-3.9730604,-3.9730604,10.624405,0.16152535,0.115616195,0.0019506318,0.11563265,2149671.858871082,0.009303735554218292,20000,20480000,1,186.07471179962158,186.07471179962158,0.05168741994433933,2149671.858871082,75622560000.0,64430080000.0,0.0,77437501440000.0,65976401920000.0,0.0,0.050611402839422226,0.0,1.0,0.0,54.5361328125,44.60101621650409,2.88098406791687,3.14697527885437,1.0,0.8330078125,1.164432338873309,0.95703125,0.04296875,0.0,0.2046634703874588,20000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07348633,1.8111665,0.81605256,0.995114,-8.900123,0.15234375,0.004710731,-3.80856,-3.80856,11.235455,0.3110063,0.15474181,0.0013811222,0.15474796,13459197.135522464,0.001485962736606598,40000,40960000,1,215.79396653175354,215.79396653175354,0.05994276848104265,13459197.135522464,151245120000.0,128860160000.0,0.0,154875002880000.0,131952803840000.0,0.0,0.06445355713367462,0.0,1.0,0.0,55.1953125,46.50723374408914,2.8388986587524414,3.1180410385131836,1.0,0.82421875,1.1660728760023695,0.9580078125,0.0419921875,0.0,0.20131152868270874,40000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07824707,1.8070011,0.8110474,0.9959537,-9.331684,0.1796875,0.0046105357,-3.6681542,-3.6681542,11.412859,0.5230606,0.13562335,0.0014904225,0.13563155,13797230.332099298,0.001449556291103363,60000,61440000,1,244.7850923538208,244.7850923538208,0.06799585898717245,13797230.332099298,226867680000.0,193290240000.0,0.0,232312504320000.0,197929205760000.0,0.0,0.07603008300065994,0.0,1.0,0.0,60.2470703125,48.38572324635833,3.0785675048828125,3.324477434158325,1.0,0.9091796875,1.210530661874123,0.9482421875,0.0517578125,0.0,0.18871143460273743,60000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07348633,1.8086295,0.8129585,0.9956711,-9.126045,0.22070312,0.0044486844,-3.425324,-3.425324,11.857052,0.5761613,0.15056738,0.0015162905,0.15057501,13774423.399300342,0.0014519564032554626,80000,81920000,1,273.82422041893005,273.82422041893005,0.0760622834497028,13774423.399300342,302490240000.0,257720320000.0,0.0,309750005760000.0,263905607680000.0,0.0,0.08585046231746674,0.0,1.0,0.0,57.4638671875,46.809627989814885,2.8731751441955566,3.1026666164398193,1.0,0.8251953125,1.163285168704573,0.9541015625,0.0458984375,0.0,0.19334454834461212,80000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07910156,1.80897,0.81312525,0.9958447,-9.58885,0.23046875,0.0044013634,-3.4159763,-3.4159763,12.522103,0.63392675,0.1566436,0.0016803489,0.15665263,13231129.492145233,0.001511576747894287,100000,102400000,1,304.0557553768158,304.0557553768158,0.0844599320491155,13231129.492145233,378112800000.0,322150400000.0,0.0,387187507200000.0,329882009600000.0,0.0,0.09425614029169083,0.0,1.0,0.0,57.0439453125,45.952070632040176,2.921609401702881,3.2925221920013428,1.0,0.849609375,1.2377682173622448,0.94140625,0.05859375,0.0,0.19401533901691437,100000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07299805,1.8081849,0.81101656,0.99716836,-9.664235,0.2705078,0.0043253647,-3.3145704,-3.3145704,12.778073,0.507655,0.16190265,0.0017850336,0.16191249,2472582.58206266,0.008088698601722717,120000,122880000,2,465.82972741127014,465.82972741127014,0.12939714650313058,2472582.58206266,453735360000.0,386580480000.0,0.0,464625008640000.0,395858411520000.0,0.0,0.1015210971236229,0.0,1.0,0.0,58.095703125,47.67120278833821,2.930366039276123,3.1643035411834717,1.0,0.853515625,1.1734478377332582,0.9580078125,0.0419921875,0.0,0.18903908133506775,120000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07470703,1.8055391,0.81122625,0.99431294,-9.706466,0.30566406,0.00414407,-3.0907938,-3.0907938,13.16828,0.5723603,0.14983234,0.0018219152,0.14984342,13784094.465000609,0.0014509376883506775,140000,143360000,2,494.8484811782837,494.8484811782837,0.13745791143841213,13784094.465000609,529357920000.0,451010560000.0,0.0,542062510080000.0,461834813440000.0,0.0,0.10789936035871506,0.0,1.0,0.0,57.849609375,46.32163835115196,2.9756417274475098,3.1534788608551025,1.0,0.8662109375,1.1820065775008914,0.9521484375,0.0478515625,0.0,0.18949586153030396,140000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07702637,1.7997065,0.8092225,0.990484,-9.753357,0.31152344,0.00413096,-3.1281638,-3.1281638,13.409897,1.0275197,0.17073989,0.0021399767,0.1707533,13766034.01421386,0.0014528412699699401,160000,163840000,2,523.9053065776825,523.9053065776825,0.14552925182713403,13766034.01421386,604980480000.0,515440640000.0,0.0,619500011520000.0,527811215360000.0,0.0,0.11357104033231735,0.0,1.0,0.0,56.5126953125,45.96958737936464,2.847964286804199,3.24104642868042,1.0,0.8388671875,1.2023792680497447,0.9443359375,0.0556640625,0.0,0.18391138315200806,160000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.076660156,1.8104372,0.81347317,0.99696404,-9.640816,0.3388672,0.004038101,-3.0146394,-3.0146394,13.928459,1.4619703,0.15691589,0.002071285,0.15692955,13768762.030875292,0.001452553415298462,180000,184320000,2,552.9563748836517,552.9563748836517,0.1535989930232366,13768762.030875292,680603040000.0,579870720000.0,0.0,696937512960000.0,593787617280000.0,0.0,0.11865478754043579,0.0,1.0,0.0,55.73828125,46.086957755648164,2.781879425048828,3.0503902435302734,1.0,0.79296875,1.1371348035846223,0.9599609375,0.0400390625,0.0,0.19480063021183014,180000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,3781128,0,559624,3221504,0,0.07531738,1.8065555,0.81616676,0.9903887,-9.8489895,0.34375,0.00397104,-2.924953,-2.924953,14.1914215,1.0305583,0.18535328,0.0022078769,0.1853664,13732343.046189992,0.0014564056992530823,200000,204800000,2,582.0844888687134,582.0844888687134,0.16169013579686484,13732343.046189992,756225600000.0,644300800000.0,0.0,774375014400000.0,659764019200000.0,0.0,0.12320492416620255,0.0,1.0,0.0,54.3232421875,44.62580976633052,2.890183925628662,3.266268491744995,1.0,0.84765625,1.2055512771491461,0.9560546875,0.0439453125,0.0,0.20219311118125916,200000
