meta/task,meta/agent_name,meta/dataset_class,meta/git_commit,meta/dataset_dir,meta/train_dataset_path,meta/val_dataset_path,meta/train_dataset_sha256,meta/val_dataset_sha256,meta/hostname,meta/platform,meta/python_version,meta/jax_backend,meta/jax_devices,meta/jax_device_count,params/total_count,params/value_count,params/actor_count,params/critic_count,params/target_value_count,training/actor/action_saturation_frac,training/actor/actor_loss,training/actor/bc_loss,training/actor/q_loss,training/actor/q_mean,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits_pos,training/critic/q_mean,training/critic/score_margin,training/critic/v_mean,training/grad/actor_global_norm,training/grad/critic_global_norm,training/grad/global_norm,time/sps,time/step_time,time/update_count,time/samples_seen,time/eval_count,time/total_time,time/train_wall_clock,time/hours_elapsed,time/samples_per_second,compute/total_param_updates,compute/critic_param_updates,compute/value_param_updates,compute/total_param_samples,compute/critic_param_samples,compute/value_param_samples,params/critic_abs_mean,batch/value_goal_source_current_frac,batch/value_goal_source_traj_frac,batch/value_goal_source_random_frac,batch/value_goal_horizon_mean,batch/value_goal_horizon_std,batch/value_goal_maze_xy_distance_mean,batch/value_goal_maze_xy_distance_std,batch/value_goal_maze_path_available_frac,batch/value_goal_maze_path_len_mean,batch/value_goal_maze_path_len_std,batch/value_goal_maze_path_short_frac,batch/value_goal_maze_path_medium_frac,batch/value_goal_maze_path_long_frac,action/policy_behavior_mse,step
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.061523438,1.788106,0.7913147,0.99679124,-8.402511,0.13867188,0.0048522977,-3.84531,-3.84531,8.317328,0.26918584,0.11681715,0.003886144,0.11688176,1260048.9384745585,0.015872389388084412,20000,20480000,1,317.4477882385254,317.4477882385254,0.08817994117736816,1260048.9384745585,161147360000.0,149954880000.0,0.0,165014896640000.0,153553797120000.0,0.0,0.043719884008169174,0.0,1.0,0.0,56.5927734375,46.595198109239696,2.852536201477051,3.157381296157837,1.0,0.8291015625,1.1713927230267647,0.9599609375,0.0400390625,0.0,0.13925504684448242,20000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.045776367,1.7788048,0.78367597,0.99512875,-8.757006,0.24414062,0.0042594397,-3.2914248,-3.2914248,9.557577,0.42478204,0.13374482,0.011853059,0.13426906,2717585.051474334,0.007359465277194977,40000,40960000,1,464.6370937824249,464.6370937824249,0.12906585938400691,2717585.051474334,322294720000.0,299909760000.0,0.0,330029793280000.0,307107594240000.0,0.0,0.05211851745843887,0.0,1.0,0.0,55.974609375,46.71787561727483,2.856672525405884,3.2258102893829346,1.0,0.8251953125,1.1898455293558183,0.9560546875,0.0439453125,0.0,0.12078431248664856,40000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.051635742,1.7751476,0.7787786,0.99636894,-9.190919,0.33789062,0.0039936807,-2.8663175,-2.8663175,10.633152,1.3321741,0.12563518,0.017688863,0.12687433,2728792.6298620817,0.007329238760471344,60000,61440000,1,611.2218689918518,611.2218689918518,0.16978385249773661,2728792.6298620817,483442080000.0,449864640000.0,0.0,495044689920000.0,460661391360000.0,0.0,0.05933291092514992,0.0,1.0,0.0,56.068359375,45.13648156005129,2.9398956298828125,3.1337392330169678,1.0,0.8583984375,1.171132170165929,0.9560546875,0.0439453125,0.0,0.1084652915596962,60000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.05407715,1.773998,0.7786354,0.99536264,-9.056157,0.37402344,0.0037082399,-2.5424013,-2.5424013,11.93112,1.712532,0.13635214,0.04852338,0.1447288,2728210.0038732975,0.007330803966522217,80000,81920000,1,757.8379483222961,757.8379483222961,0.2105105412006378,2728210.0038732975,644589440000.0,599819520000.0,0.0,660059586560000.0,614215188480000.0,0.0,0.06546417623758316,0.0,1.0,0.0,57.015625,46.360465103462616,2.9162251949310303,3.217653274536133,1.0,0.83203125,1.1697311118472644,0.9619140625,0.0380859375,0.0,0.10818968713283539,80000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.04309082,1.7727182,0.7763809,0.99633723,-9.187771,0.43066406,0.0035557235,-2.3652852,-2.3652852,12.60769,4.860896,0.17118695,0.099084444,0.1977946,2694626.900863738,0.007422167813777924,100000,102400000,1,906.2813045978546,906.2813045978546,0.25174480683273737,2694626.900863738,805736800000.0,749774400000.0,0.0,825074483200000.0,767768985600000.0,0.0,0.07077763229608536,0.0,1.0,0.0,56.4072265625,47.73323890345484,2.889953136444092,3.1658706665039062,1.0,0.8349609375,1.1630326394169344,0.9609375,0.0390625,0.0,0.10234642028808594,100000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.04321289,1.768931,0.7763416,0.9925894,-9.237235,0.44628906,0.0034122462,-2.1249275,-2.1249275,13.174023,3.4259808,0.16592626,0.047887966,0.17269853,1784248.0382323277,0.011209193861484527,120000,122880000,2,1130.4651818275452,1130.4651818275452,0.314018106063207,1784248.0382323277,966884160000.0,899729280000.0,0.0,990089379840000.0,921322782720000.0,0.0,0.07542527467012405,0.0,1.0,0.0,55.8779296875,46.2921022600109,2.7502684593200684,3.140956163406372,1.0,0.7666015625,1.1401830365658658,0.9580078125,0.0419921875,0.0,0.10233493894338608,120000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.04321289,1.7670364,0.7739306,0.9931058,-9.176846,0.4560547,0.0034300035,-2.0746465,-2.0746465,13.346371,5.094083,0.1799115,0.075615205,0.19515581,2723196.227320588,0.007344300997257232,140000,143360000,2,1277.3512017726898,1277.3512017726898,0.3548197782701916,2723196.227320588,1128031520000.0,1049684160000.0,0.0,1155104276480000.0,1074876579840000.0,0.0,0.07955463230609894,0.0,1.0,0.0,56.3876953125,46.99415153274038,2.8518853187561035,3.1817376613616943,1.0,0.8212890625,1.176883421719361,0.9501953125,0.0498046875,0.0,0.09665031731128693,140000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.045288086,1.7690661,0.77384174,0.9952243,-9.564911,0.4638672,0.0033848826,-2.0365717,-2.0365717,13.666445,4.3350425,0.14669304,0.080954485,0.16754843,2723318.582843132,0.007343971025943756,160000,163840000,2,1424.230622291565,1424.230622291565,0.3956196173032125,2723318.582843132,1289178880000.0,1199639040000.0,0.0,1320119173120000.0,1228430376960000.0,0.0,0.08323632925748825,0.0,1.0,0.0,59.3369140625,47.54550415630262,2.982254981994629,3.2457916736602783,1.0,0.884765625,1.2336439068136151,0.9462890625,0.0537109375,0.0,0.09617170691490173,160000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.049194336,1.7668555,0.7726075,0.994248,-9.589964,0.48632812,0.003263609,-1.9124637,-1.9124637,14.097065,9.471632,0.17036304,0.15325627,0.22915289,2719189.8979045935,0.0073551217675209045,180000,184320000,2,1571.333057641983,1571.333057641983,0.4364814049005508,2719189.8979045935,1450326240000.0,1349593920000.0,0.0,1485134069760000.0,1381984174080000.0,0.0,0.08653467893600464,0.0,1.0,0.0,58.5537109375,46.55141484971421,2.901695728302002,3.189061164855957,1.0,0.8203125,1.1443379209585558,0.9599609375,0.0400390625,0.0,0.09312664717435837,180000
antmaze-medium-stitch-v0,crl,GCDataset,68dffffa30b4399ba8e2743c4de83bc78aacabbe,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0.npz,/home/e/e1300530/Recurrent-Offline-RL/.ogbench_data/antmaze-medium-stitch-v0-val.npz,b3fa34eef8d24dc812d734abaf74db279a5f39cd63debf23961d62c314d71e99,3015f74bb9d0f0fef0037d310c2be157b78af2c613f8cb0579f1de018e7c0af0,xgpi23,Linux-6.8.0-100-generic-x86_64-with-glibc2.39,3.10.19,gpu,cuda:0,1,8057368,0,559624,7497744,0,0.04736328,1.7702523,0.77393985,0.9963125,-9.645014,0.48046875,0.0033010356,-2.1137173,-2.1137173,13.8361435,3.245915,0.15659069,0.14070952,0.2105227,2719090.1894826163,0.007355391478538513,200000,204800000,2,1718.4408872127533,1718.4408872127533,0.4773446908924315,2719090.1894826163,1611473600000.0,1499548800000.0,0.0,1650148966400000.0,1535537971200000.0,0.0,0.0895376056432724,0.0,1.0,0.0,57.4873046875,47.376894699093995,2.9594221115112305,3.18782901763916,1.0,0.8349609375,1.1755602049019527,0.95703125,0.04296875,0.0,0.09663860499858856,200000
